"행정구역별(시군구)","성별","연령별",2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"대구광역시","여자","합계",1190202,179078,162888,1084,322,8970,803,5011,749399,527695,14218,128886,1632,9083,6147,3122,4597,54019,97353,11498,5475,42526,37854,784,152916,10672
"대구광역시","여자","15세미만",140506,119,X,X,16,52,30,20,125657,106047,3929,11119,X,X,1344,598,377,2243,14499,2294,1510,5379,5316,148,X,81
"대구광역시","여자","15~19세",56459,524,16,X,5,477,14,10,48631,36840,2311,7523,X,8,321,187,255,1182,5185,517,402,2248,2018,11,2040,68
"대구광역시","여자","20~24세",72098,2417,381,13,9,1895,62,57,52403,36239,3180,9852,41,41,307,204,499,2040,4999,359,328,2211,2101,17,11643,619
"대구광역시","여자","25~29세",71034,6942,4267,89,19,2375,66,126,46468,31335,2393,8617,80,150,335,133,401,3024,4032,324,271,1704,1733,28,12110,1454
"대구광역시","여자","30~34세",62014,8382,6825,112,19,1211,39,176,41483,31122,969,5360,139,250,515,21,112,2995,3628,515,347,1206,1560,57,7460,1004
"대구광역시","여자","35~39세",83734,5776,4565,67,18,875,43,208,63654,50875,685,7580,91,247,791,7,52,3326,6344,1038,707,2258,2341,67,7176,717
"대구광역시","여자","40~44세",86980,4798,3771,67,8,638,38,276,68211,53892,367,9604,67,234,800,X,15,3232,6737,1020,613,2948,2156,32,6621,581
"대구광역시","여자","45~49세",107167,9655,8571,112,13,505,46,408,80632,60243,231,14547,123,558,783,X,X,4142,7436,790,597,3665,2384,10,8756,678
"대구광역시","여자","50~54세",108322,16225,15089,125,26,322,66,597,75310,53001,105,16115,146,769,475,26,12,4661,6075,460,450,3142,2023,20,9915,777
"대구광역시","여자","55~59세",106971,29550,28184,164,52,198,82,870,57240,36375,35,13422,206,1309,289,159,62,5383,5222,504,197,2312,2209,58,14007,894
"대구광역시","여자","60~64세",90298,34878,33430,175,47,188,96,942,33144,17643,11,8671,174,1132,108,347,177,4881,5427,875,43,2043,2466,61,15845,943
"대구광역시","여자","65~69세",65672,26546,25586,81,33,114,79,653,18615,7732,X,5504,105,565,48,418,266,3975,5484,912,9,2102,2461,50,14290,687
"대구광역시","여자","70~74세",49593,17440,16927,44,25,62,44,338,12908,3916,X,4108,120,357,17,403,437,3550,5668,804,X,2429,2434,11,12990,576
"대구광역시","여자","75~79세",43476,10819,10516,24,20,30,48,181,11351,1872,X,3728,138,564,12,415,693,3929,6970,699,X,3371,2900,18,13696,622
"대구광역시","여자","80~84세",28464,4113,3967,6,7,19,25,89,7857,491,X,2065,145,1065,X,171,769,3150,5591,314,X,3134,2143,61,10359,483
"대구광역시","여자","85세이상",17414,894,793,X,5,9,25,60,5835,72,X,1071,53,1834,X,31,467,2306,4056,73,X,2374,1609,135,6006,488
"동부","계","합계",2089499,321313,290904,2080,539,17119,1433,9238,1323921,961999,52577,175551,2856,13077,11862,5806,6557,93636,161880,21215,12693,64669,63303,1216,261173,19996
"동부","계","15세미만",248187,220,X,X,24,109,52,34,220520,185485,7104,19924,X,X,2347,1084,700,3876,27027,4322,2650,10034,10021,284,X,133
"동부","계","15~19세",106575,952,13,X,5,882,31,18,91953,69531,4719,13931,X,6,635,355,513,2259,10023,1027,775,4335,3886,20,3496,131
"동부","계","20~24세",127805,3899,384,22,16,3294,93,90,93798,64533,6185,17380,33,42,596,416,942,3671,8961,622,602,3924,3813,32,20112,1003
"동부","계","25~29세",138772,9860,4971,131,24,4383,131,220,92646,61405,5639,17921,98,171,680,268,868,5596,7877,519,510,3390,3458,52,25549,2788
"동부","계","30~34세",113695,13680,10814,186,26,2255,95,304,73119,51820,3083,10918,210,379,848,56,405,5400,5955,717,489,2016,2733,82,18713,2146
"동부","계","35~39세",143075,10585,8337,138,25,1599,91,395,103833,80686,3006,11760,195,449,1375,12,143,6207,10019,1683,1070,3481,3785,115,16941,1582
"동부","계","40~44세",151056,8239,6192,133,22,1284,97,511,114386,90035,2857,12834,143,409,1485,X,33,6589,11707,1840,1112,4841,3914,55,15305,1364
"동부","계","45~49세",189288,14766,12271,233,20,1330,98,814,138938,106285,3967,17218,218,853,1644,X,6,8744,14036,1683,1137,6504,4712,25,19874,1649
"동부","계","50~54세",191331,25094,22621,250,42,837,144,1200,131337,98006,4840,16787,243,1248,1104,27,12,9070,12055,990,963,6066,4036,32,21061,1752
"동부","계","55~59세",189055,45203,42545,334,70,500,138,1616,107673,76851,4623,13216,329,2091,668,202,56,9637,9633,829,616,4502,3686,77,24628,1841
"동부","계","60~64세",159335,59587,57010,309,88,338,149,1693,64742,41625,3001,8260,312,2096,303,493,177,8475,8374,1266,429,2924,3755,107,24744,1781
"동부","계","65~69세",113365,50672,48995,172,66,159,125,1155,33779,18422,1481,5169,195,1155,114,699,271,6273,7754,1598,431,2175,3550,85,19934,1141
"동부","계","70~74세",83365,36590,35677,98,55,82,65,613,21817,9692,880,3839,198,620,35,711,441,5401,7623,1477,420,2307,3419,29,16454,852
"동부","계","75~79세",69246,26034,25483,54,35,35,66,361,17418,5334,631,3470,242,623,23,844,719,5532,8998,1484,538,3094,3882,23,15998,775
"동부","계","80~84세",42283,12142,11922,12,15,23,33,137,10865,1871,390,1915,263,1082,X,493,780,4067,7019,852,528,2886,2753,64,11641,552
"동부","계","85세이상",23066,3790,3669,X,6,9,25,77,7097,418,171,1009,173,1853,X,142,491,2839,4819,306,423,2190,1900,134,6720,506
"동부","남자","합계",1020260,161050,145452,1113,251,8818,685,4731,655732,495582,39774,57285,1428,4922,6503,2952,2360,44926,73339,10794,7772,26001,28772,535,119138,10466
"동부","남자","15세미만",128085,111,X,X,8,59,26,18,113701,95584,3774,10199,X,X,1220,545,365,2014,14053,2271,1324,5222,5236,154,X,65
"동부","남자","15~19세",54832,479,X,X,X,450,17,10,47504,35956,2599,6941,X,X,352,181,280,1195,5230,553,406,2258,2013,12,1538,69
"동부","남자","20~24세",61158,1706,72,11,9,1540,35,39,45840,31564,3263,8209,X,X,312,224,476,1788,4339,288,290,1882,1879,17,8838,418
"동부","남자","25~29세",74683,4004,1568,59,8,2195,69,105,50835,33412,3440,10001,27,39,395,152,495,2874,4236,232,269,1833,1902,28,14100,1480
"동부","남자","30~34세",60466,6737,5269,96,15,1151,59,147,37851,25842,2186,6071,89,168,444,36,301,2714,2778,269,194,967,1348,33,11807,1260
"동부","남자","35~39세",71172,5727,4591,83,7,784,50,212,49722,37907,2377,5013,117,231,715,6,98,3258,4354,745,462,1477,1670,55,10364,950
"동부","남자","40~44세",73909,4138,3024,75,14,697,62,266,54063,42695,2508,4116,81,203,771,X,20,3668,5560,913,552,2170,1925,31,9263,854
"동부","남자","45~49세",91875,6292,4789,133,9,853,58,450,65499,51616,3753,3769,102,349,928,X,X,4977,7145,942,579,3120,2504,16,11871,1052
"동부","남자","50~54세",93009,10853,9414,137,17,536,82,667,62593,49731,4744,1928,119,561,661,X,X,4842,6491,572,544,3185,2190,15,11990,1067
"동부","남자","55~59세",91848,18922,17492,181,27,311,64,847,55134,43523,4589,752,153,913,400,65,7,4732,4907,374,429,2416,1688,27,11812,1046
"동부","남자","60~64세",76872,28057,26815,146,46,155,56,839,34158,25272,2990,233,164,1074,201,183,26,4015,3507,496,392,1091,1528,52,10163,935
"동부","남자","65~69세",52861,26357,25560,97,35,50,49,566,16516,11183,1479,42,103,652,67,314,24,2652,2781,765,423,282,1311,43,6639,525
"동부","남자","70~74세",37379,20430,19998,56,30,25,23,298,9837,5980,880,9,88,295,21,338,41,2185,2420,747,419,84,1170,20,4344,328
"동부","남자","75~79세",28975,15961,15696,30,16,7,22,190,6969,3562,631,X,120,115,12,459,87,1982,2580,835,538,12,1195,7,3242,216
"동부","남자","80~84세",16086,8326,8241,6,8,5,11,55,3713,1404,390,X,139,118,X,332,67,1258,1870,554,528,X,786,9,2037,131
"동부","남자","85세이상",7050,2950,2923,X,X,X,X,22,1797,351,171,X,125,201,X,111,66,772,1088,238,423,X,427,16,1129,70
"동부","여자","합계",1069239,160263,145452,967,288,8301,748,4507,668189,466417,12803,118266,1428,8155,5359,2854,4197,48710,88541,10421,4921,38668,34531,681,142035,9530
