"중랑구","아파트",51010,51048,50940,X,X,105,140307,140102,19,X,186
"중랑구","연립주택",4284,4289,4273,X,X,15,11076,11039,6,X,31
"중랑구","다세대주택",30519,30586,30359,X,X,227,74540,74070,X,X,470
"중랑구","비거주용건물내 주택",1500,3841,3737,20,X,84,8164,7815,191,X,158
"중랑구","주택이외의 거처",3882,5295,5146,8,19,122,9246,7437,70,1551,188
"중랑구","오피스텔",2492,2496,2447,X,X,49,3668,3603,X,X,65
"성북구","계",135930,182594,176729,97,65,5703,437464,418403,878,9354,8829
"성북구","주택",132456,175465,170690,87,8,4680,418878,410358,787,264,7469
"성북구","단독주택",22458,61874,58537,33,6,3298,119705,114036,306,202,5161
"성북구","아파트",76127,76182,75856,13,X,313,213645,212962,104,X,579
"성북구","연립주택",5720,5737,5647,X,X,86,14734,14528,34,X,172
"성북구","다세대주택",26780,26831,26291,10,X,529,62693,61655,82,14,942
"성북구","비거주용건물내 주택",1371,4841,4359,27,X,454,8101,7177,261,48,615
"성북구","주택이외의 거처",3474,7129,6039,10,57,1023,18586,8045,91,9090,1360
"성북구","오피스텔",1899,1903,1780,X,X,123,2514,2360,X,X,154
"강북구","계",96136,130161,128012,43,29,2077,299843,294143,362,2080,3258
"강북구","주택",93788,126186,124253,36,X,1895,292561,289188,310,32,3031
"강북구","단독주택",17665,48720,47260,14,X,1444,97092,94730,102,32,2228
"강북구","아파트",33594,33629,33542,X,X,87,88764,88621,X,X,143
"강북구","연립주택",4578,4587,4556,X,X,31,11839,11795,X,X,44
"강북구","다세대주택",36926,36991,36735,X,X,252,90107,89578,38,X,491
"강북구","비거주용건물내 주택",1025,2259,2160,18,X,81,4759,4464,170,X,125
"강북구","주택이외의 거처",2348,3975,3759,7,27,182,7282,4955,52,2048,227
"강북구","오피스텔",1301,1302,1257,X,X,44,1667,1604,8,X,55
"도봉구","계",107236,127843,126831,24,34,954,319583,315032,185,2818,1548
"도봉구","주택",103321,123219,122412,14,X,791,309751,307896,122,427,1306
"도봉구","단독주택",8812,27804,27332,X,X,470,56016,54893,18,380,725
"도봉구","아파트",63262,63295,63167,X,X,127,173575,173346,7,X,222
"도봉구","연립주택",3969,3976,3963,X,X,13,10706,10681,X,X,25
"도봉구","다세대주택",26574,26612,26475,X,X,134,66093,65802,19,X,272
"도봉구","비거주용건물내 주택",704,1532,1475,9,X,47,3361,3174,78,47,62
"도봉구","주택이외의 거처",3915,4624,4419,10,32,163,9832,7136,63,2391,242
"도봉구","오피스텔",3081,3085,2968,X,X,114,5458,5027,6,274,151
"노원구","계",185038,202930,201458,67,36,1369,515422,504967,546,7686,2223
"노원구","주택",181801,198750,197586,62,X,1101,501066,498657,506,32,1871
"노원구","단독주택",6578,22153,21605,X,X,544,40655,39761,29,X,865
"노원구","아파트",156945,157073,156685,32,X,356,414762,413863,247,X,652
"노원구","연립주택",3378,3380,3365,X,X,15,9032,9008,X,X,24
"노원구","다세대주택",14227,14245,14115,10,X,119,32808,32491,82,32,203
"노원구","비거주용건물내 주택",673,1899,1816,16,X,67,3809,3534,148,X,127
"노원구","주택이외의 거처",3237,4180,3872,5,35,268,14356,6310,40,7654,352
"노원구","오피스텔",2325,2326,2248,X,X,78,4083,3995,X,X,88
"은평구","계",153654,186841,184890,48,34,1869,455724,447693,453,4377,3201
"은평구","주택",144597,176228,174561,39,X,1625,436276,432960,368,64,2884
"은평구","단독주택",15141,45031,44164,13,X,854,94437,92910,145,X,1382
"은평구","아파트",56768,56816,56611,5,X,200,159247,158850,35,X,362
"은평구","연립주택",5674,5683,5659,X,X,23,15456,15397,8,X,51
"은평구","다세대주택",65810,65922,65449,7,X,464,160923,159908,49,36,930
"은평구","비거주용건물내 주택",1204,2776,2678,13,X,84,6213,5895,131,28,159
"은평구","주택이외의 거처",9057,10613,10329,9,31,244,19448,14733,85,4313,317
"은평구","오피스텔",6566,6572,6429,X,X,142,8696,8475,X,52,169
"서대문구","계",100588,134437,128635,68,37,5697,312596,291958,600,10885,9153
"서대문구","주택",95124,127140,122415,60,5,4660,291702,283474,529,99,7600
"서대문구","단독주택",12828,42704,39738,19,5,2942,78108,73253,166,99,4590
"서대문구","아파트",50076,50138,49632,5,X,501,135649,134505,50,X,1094
"서대문구","연립주택",5142,5152,5037,X,X,114,13305,13093,6,X,206
"서대문구","다세대주택",26174,26220,25522,12,X,686,59443,58260,94,X,1089
"서대문구","비거주용건물내 주택",904,2926,2486,23,X,417,5197,4363,213,X,621
"서대문구","주택이외의 거처",5464,7297,6220,8,32,1037,20894,8484,71,10786,1553
"서대문구","오피스텔",4229,4236,3837,X,X,396,5657,5115,30,X,512
"마포구","계",128852,162161,156885,81,21,5174,362680,348755,711,4975,8239
"마포구","주택",114240,145441,141201,72,X,4168,334074,326568,633,X,6873
"마포구","단독주택",11835,40737,38273,16,X,2448,73494,69404,138,X,3952
"마포구","아파트",66156,66234,65469,10,X,755,179457,178042,65,X,1350
"마포구","연립주택",2926,2934,2877,X,X,53,7508,7370,39,X,99
"마포구","다세대주택",31838,31886,31243,14,X,629,66515,65405,103,X,1007
"마포구","비거주용건물내 주택",1485,3650,3339,28,X,283,7100,6347,288,X,465
"마포구","주택이외의 거처",14612,16720,15684,9,21,1006,28606,22187,78,4975,1366
"마포구","오피스텔",13360,13395,12760,X,X,634,17503,16739,6,X,758
"양천구","계",142031,165106,162867,23,22,2194,434670,429819,201,916,3734
"양천구","주택",135774,157770,155893,19,X,1858,418413,414949,169,X,3295
"양천구","단독주택",7804,28743,27543,X,X,1196,57794,55668,30,X,2096
"양천구","아파트",85496,85578,85398,X,X,177,253755,253416,24,X,315
"양천구","연립주택",3870,3877,3845,X,X,31,10221,10145,6,X,70
"양천구","다세대주택",37793,37870,37540,X,X,327,92851,92185,22,X,644
"양천구","비거주용건물내 주택",811,1702,1567,8,X,127,3792,3535,87,X,170
"양천구","주택이외의 거처",6257,7336,6974,X,22,336,16257,14870,32,916,439
"양천구","오피스텔",5177,5182,5094,X,X,88,12126,12013,X,X,113
"강서구","계",211431,243220,240135,35,41,3009,567547,559359,316,2583,5289
"강서구","주택",186198,214436,211875,33,X,2525,528139,523186,300,52,4601
"강서구","단독주택",10447,37175,35681,7,X,1486,73688,71025,79,22,2562
"강서구","아파트",109373,109452,109115,X,X,332,289152,288515,26,10,601
"강서구","연립주택",4571,4580,4558,X,X,22,12106,12057,X,X,49
"강서구","다세대주택",60729,60874,60237,6,X,630,148148,146795,49,20,1284
"강서구","비거주용건물내 주택",1078,2355,2284,16,X,55,5045,4794,146,X,105
"강서구","주택이외의 거처",25233,28784,28260,X,38,484,39408,36173,16,2531,688
"강서구","오피스텔",22811,22829,22496,X,X,333,28687,28269,X,X,418
"구로구","계",138179,178837,160378,68,38,18353,429453,386239,533,3225,39456
"구로구","주택",124745,160432,143303,56,X,17072,400283,362343,451,28,37461
"구로구","단독주택",11682,44595,32013,16,X,12566,91887,63637,138,X,28112
"구로구","아파트",78320,78519,77313,6,X,1200,216756,214045,46,X,2665
"구로구","연립주택",6982,7003,6867,X,X,135,17848,17507,10,X,331
"구로구","다세대주택",26957,27220,25292,23,X,1904,68464,63622,157,28,4657
"구로구","비거주용건물내 주택",804,3095,1818,10,X,1267,5328,3532,100,X,1696
"구로구","주택이외의 거처",13434,18405,17075,12,37,1281,29170,23896,82,3197,1995
"구로구","오피스텔",12038,12081,11508,5,X,568,18011,17129,31,X,851
"금천구","계",74053,111250,99315,51,30,11854,245777,219896,434,1610,23837
"금천구","주택",65580,99276,88237,42,X,10996,228944,206074,366,22,22482
"금천구","단독주택",9011,41085,31785,7,X,9292,80814,62066,54,22,18672
"금천구","아파트",30427,30480,30262,X,X,215,81464,80999,19,X,446
"금천구","연립주택",3787,3798,3718,X,X,80,9836,9657,X,X,179
"금천구","다세대주택",21831,22021,20867,12,X,1142,53499,50697,79,X,2723
"금천구","비거주용건물내 주택",524,1892,1605,20,X,267,3331,2655,214,X,462
"금천구","주택이외의 거처",8473,11974,11078,9,29,858,16833,13822,68,1588,1355
"금천구","오피스텔",7395,7435,7095,X,X,340,9472,8943,X,X,529
"영등포구","계",123663,169700,153923,90,37,15650,387803,341509,842,3270,42182
"영등포구","주택",99830,141109,126460,78,X,14568,342300,300956,744,150,40450
"영등포구","단독주택",14302,52767,40593,16,X,12156,114835,79347,151,99,35238
"영등포구","아파트",68760,68873,68114,10,X,749,186870,185312,70,X,1488
"영등포구","연립주택",1460,1468,1392,X,X,72,3637,3446,28,X,163
"영등포구","다세대주택",14195,14320,13278,13,X,1029,30089,27621,88,X,2380
"영등포구","비거주용건물내 주택",1113,3681,3083,35,X,562,6869,5230,407,51,1181
"영등포구","주택이외의 거처",23833,28591,27463,12,34,1082,45503,40553,98,3120,1732
"영등포구","오피스텔",22138,22184,21642,X,X,540,34323,33523,15,X,785
"동작구","계",117390,172323,164963,89,17,7254,394656,374478,805,6307,13066
"동작구","주택",114231,166558,159715,79,X,6763,380590,367440,711,22,12417
"동작구","단독주택",14657,63951,58205,29,X,5717,114562,103771,222,X,10569
"동작구","아파트",61118,61189,60998,6,X,185,169372,169001,49,X,322
"동작구","연립주택",5106,5124,5057,X,X,64,13812,13622,15,22,153
"동작구","다세대주택",32259,32358,31847,8,X,503,76224,75202,58,X,964
"동작구","비거주용건물내 주택",1091,3936,3608,34,X,294,6620,5844,367,X,409
"동작구","주택이외의 거처",3159,5765,5248,10,16,491,14066,7038,94,6285,649
"동작구","오피스텔",1751,1757,1712,X,X,45,2486,2417,X,X,69
"관악구","계",142921,253139,242154,145,29,10811,500643,472796,1469,7366,19012
"관악구","주택",125686,228407,218364,134,X,9906,462244,442921,1394,97,17832
"관악구","단독주택",21486,112072,103888,18,X,8164,186710,171714,174,76,14746
"관악구","아파트",53943,54023,53793,X,X,227,141113,140658,21,X,434
"관악구","연립주택",6341,6362,6319,X,X,41,16912,16807,13,X,92
"관악구","다세대주택",41952,42107,41405,16,X,686,98141,96516,116,X,1509
"관악구","비거주용건물내 주택",1964,13843,12959,95,X,788,19368,17226,1070,21,1051
"관악구","주택이외의 거처",17235,24732,23790,11,26,905,38399,29875,75,7269,1180
"관악구","오피스텔",14496,14710,14378,X,X,329,18248,17793,12,50,393
"서초구","계",133228,157635,155377,51,22,2185,398595,391520,463,3147,3465
"서초구","주택",125358,148291,146509,41,X,1741,382724,379478,390,X,2856
"서초구","단독주택",5899,26722,25992,X,X,727,50762,49681,19,X,1062
"서초구","아파트",89020,89110,88518,6,X,586,257679,256552,41,X,1086
"서초구","연립주택",4986,5000,4932,X,X,66,14189,14027,16,X,146
"서초구","다세대주택",24210,24227,23976,5,X,246,53270,52856,41,X,373
"서초구","비거주용건물내 주택",1243,3232,3091,25,X,116,6824,6362,273,X,189
"서초구","주택이외의 거처",7870,9344,8868,10,22,444,15871,12042,73,3147,609
"서초구","오피스텔",6384,6386,6165,X,X,220,8489,8208,6,X,275
"강남구","계",172835,209768,206524,60,24,3160,500710,493492,514,2259,4445
"강남구","주택",159589,193670,191232,54,X,2382,475884,471932,467,32,3453
"강남구","단독주택",7192,38173,37009,7,X,1157,70054,68334,55,X,1665
"강남구","아파트",118249,118362,117726,16,X,619,329754,328679,112,21,942
"강남구","연립주택",5118,5130,5090,X,X,38,13582,13502,13,X,67
"강남구","다세대주택",27343,27361,26927,5,X,429,53198,52580,41,X,577
"강남구","비거주용건물내 주택",1687,4644,4480,24,X,139,9296,8837,246,11,202
"강남구","주택이외의 거처",13246,16098,15292,6,22,778,24826,21560,47,2227,992
