,행정구역별(시군구),주택,전체대비주택비율,면적대비주택비율,미성년비율,청년비율,중년비율,장년비율,노년비율
0,가평군,21820,0.00535333875863876,0.000266456806490751,0.13643685858567575,0.13375807706926823,0.18621151514054554,0.2965483538163587,0.2470451953881518
1,고양시,313254,0.07685402289177938,0.0016136489935594978,0.18263498483316482,0.18440647118301315,0.25362891809909,0.25138523761375126,0.12794438827098079
2,과천시,12927,0.0031715220042586277,0.00036055560204167013,0.18979175017656377,0.1823283513714711,0.23312145679436522,0.25474813415029873,0.14001030750730115
3,광명시,99721,0.024465641354272035,0.0025897204347954694,0.18610071990290455,0.18242638868106473,0.25926480123696943,0.24241940578914992,0.1297886843899114
4,광주시,115372,0.028305472010159077,0.0006697570160533452,0.1885698304252781,0.17650668082167542,0.271328116527685,0.2394764929824261,0.12411887924293534
5,구리시,57693,0.014154453391482401,0.0017329353566421695,0.17994403730846104,0.1869686875416389,0.2521625582944704,0.25468887408394403,0.12623584277148567
6,군포시,86794,0.021294119350013407,0.0023805117181384602,0.18444947400267306,0.19568938775979136,0.2485112379989507,0.2497941583085366,0.1215557419300483
7,김포시,140325,0.03442746385453639,0.0013766379772336404,0.2232490936025886,0.15922624848933764,0.28996920198042964,0.20790612451756266,0.11964933141008148
8,남양주시,221641,0.05437760567385213,0.0009142737578536995,0.20884707097401314,0.15851521088683343,0.2694582403061922,0.23126015704500236,0.13191932078795887
9,동두천시,33510,0.008221374051420021,0.0009983372664524625,0.1711490050006265,0.1611591429450159,0.22658875257720215,0.2527537618608254,0.18834933761633008
10,부천시,255150,0.06259873438435745,0.004773620205799813,0.1659897294614551,0.20410922829158606,0.24298078578735732,0.263625682423604,0.12329457403599753
11,성남시,251281,0.06164951038540359,0.0017718192702460536,0.17235108002529348,0.19868787172521368,0.25312791263982093,0.24170270156744722,0.1341304340422247
12,수원시,354566,0.0869895467596476,0.0029258958609622234,0.1917139792030355,0.2173957465398579,0.2608912783456848,0.2265602567648266,0.10343873914659517
13,시흥시,152063,0.037307275511222995,0.0011259183557811377,0.205228230850729,0.19707602079943967,0.27870451230810833,0.2339936963335003,0.0849975397082227
14,안산시,193891,0.047569395291073686,0.0012800422920781595,0.1764922451643813,0.21549873874395298,0.2468106861908138,0.26167726957760384,0.0995210603232481
15,안성시,64859,0.015912566386184754,0.0004151944299841832,0.18053935399343765,0.1719198037041081,0.24101986519023347,0.2434908029398413,0.1630301741723795
16,안양시,171744,0.042135830053329756,0.0029367961937928444,0.17393606939380762,0.2008098174101452,0.24127838913603372,0.25801362455541804,0.12596209950459542
17,양주시,74540,0.018287711781344324,0.0004954292695225752,0.19945699789153437,0.16214967217691856,0.2519568294068376,0.24004255442055705,0.14639394610415243
18,양평군,39985,0.009809956474068324,0.0007809742675961403,0.14796870240633567,0.12082127627170271,0.19747563204386231,0.28897921108742003,0.24475517819067927
19,여주시,36723,0.009009654410334153,0.0014073785989847467,0.15838198988988597,0.14824248599083037,0.21231239468631216,0.27607860809592855,0.20498452133704298
20,연천군,15462,0.0037934612230097393,0.0005078642259710046,0.14166897698918768,0.155782947299443,0.17282052574539405,0.2753232351236233,0.254404314842352
21,오산시,74061,0.018170193483205557,0.0017321374277896016,0.22328057540611856,0.20090985396890174,0.29391714856774515,0.19345294682316277,0.08843947523407177
22,용인시,326916,0.08020587046833863,0.0008419233924243547,0.2147612966323285,0.17191673974806115,0.2778288561717743,0.20835067753525083,0.12714242991258523
23,의왕시,50074,0.01228520096242334,0.0009274612813531237,0.17423161415781194,0.19310029003205617,0.23262960185301945,0.2703072215990921,0.12973127235802034
24,의정부시,142635,0.03499420136748119,0.001748012644368675,0.1771328561111647,0.1872975471596028,0.2444183590175465,0.24842918943587258,0.1427220482758134
25,이천시,68800,0.01687945493099664,0.0008370292391832463,0.19885212357139292,0.18299146578829167,0.24660877376852822,0.2358237261067026,0.13572391076508458
26,파주시,143059,0.035098225915311754,0.0017591548658943685,0.2118819367171674,0.1718237324888014,0.2647579103540757,0.21879844408304563,0.13273797635690984
27,평택시,171851,0.042162081531202086,0.0011374042000660968,0.19859589249290924,0.1933656025105392,0.2654324999109069,0.22434485115160713,0.11826115393403755
28,포천시,49591,0.012166701300625792,0.001271139248715205,0.15451579404768043,0.16241834156975674,0.2045603517480612,0.2971372598119002,0.18136825282260144
29,하남시,77390,0.018986933388224273,0.0008317511897405989,0.19782106487301987,0.17845187955745537,0.2775568896152879,0.2232013766658285,0.12296878928840835
30,화성시,258263,0.06336248065180211,0.0008126921875041547,0.24533393328096798,0.18746326187714252,0.3033814678603197,0.1805291850248909,0.08329215195667893
