"행정구역(시·군)별","경제활동별","항목","단위","2016 년","2015 년","2014 년","2013 년","2012 년","2011 년","2010 년",
"시흥시","전기, 가스, 증기 및 수도사업","2010년 기준년 고정가격_지역내","","50941","47801","57538","85421","89180","52488","67118",
"시흥시","건설업","산출액(당해년가격)","","1845289","1518234","1371584","1023201","1045233","1023556","892839",
"시흥시","건설업","중간소비","","1180563","978914","903060","684059","705776","699389","607110",
"시흥시","건설업","지역내총부가가치(당해년가격)","","664726","539320","468524","339142","339457","324167","285730",
"시흥시","건설업","고정자본소모","","49921","44751","41884","30422","31097","30072","25196",
"시흥시","건설업","지역내순생산","","614805","494568","426640","308720","308360","294095","260534",
"시흥시","건설업","기타생산세(기타생산보조금 공제)","","3403","3164","2783","2154","2129","1912","1332",
"시흥시","건설업","지역내요소소득","","611402","491405","423856","306566","306231","292183","259202",
"시흥시","건설업","2010년 기준년 고정가격_산출액","","1700687","1391108","1250898","943671","968147","967512","892839",
"시흥시","건설업","2010년 기준년 고정가격_지역내","","537775","439456","391447","294742","309332","307615","285730",
"시흥시","도매 및 소매업","산출액(당해년가격)","","1828462","1740967","1707020","1642907","1720360","1544768","1400074",
"시흥시","도매 및 소매업","중간소비","","910872","856649","826216","781656","837166","739074","661422",
"시흥시","도매 및 소매업","지역내총부가가치(당해년가격)","","917591","884319","880803","861251","883194","805694","738652",
"시흥시","도매 및 소매업","고정자본소모","","72524","69292","65029","60522","61830","56883","50728",
"시흥시","도매 및 소매업","지역내순생산","","845067","815026","815775","800728","821364","748812","687924",
"시흥시","도매 및 소매업","기타생산세(기타생산보조금 공제)","","19408","18658","17153","16450","16509","15216","12384",
"시흥시","도매 및 소매업","지역내요소소득","","825659","796368","798622","784279","804855","733595","675539",
"시흥시","도매 및 소매업","2010년 기준년 고정가격_산출액","","1742880","1683723","1640736","1579415","1654590","1499722","1400074",
"시흥시","도매 및 소매업","2010년 기준년 고정가격_지역내","","936812","907940","892880","854478","864853","789750","738652",
"시흥시","운수업","산출액(당해년가격)","","775513","786665","749886","711986","720836","654296","599134",
"시흥시","운수업","중간소비","","423624","438028","434943","416865","430594","394400","355060",
"시흥시","운수업","지역내총부가가치(당해년가격)","","351889","348637","314943","295121","290242","259896","244075",
"시흥시","운수업","고정자본소모","","111161","110177","99994","91841","91830","78599","66435",
"시흥시","운수업","지역내순생산","","240728","238460","214949","203280","198412","181298","177640",
"시흥시","운수업","기타생산세(기타생산보조금 공제)","","7204","7181","5882","5493","5443","5025","3596",
"시흥시","운수업","지역내요소소득","","233523","231280","209066","197786","192969","176272","174044",
"시흥시","운수업","2010년 기준년 고정가격_산출액","","709827","725148","689918","667754","682114","640194","599134",
"시흥시","운수업","2010년 기준년 고정가격_지역내","","283292","293028","284275","280598","290914","269277","244075",
"시흥시","숙박 및 음식점업","산출액(당해년가격)","","677500","626015","631442","604021","613427","579332","527701",
"시흥시","숙박 및 음식점업","중간소비","","407939","382709","396191","381489","394058","369849","322635",
"시흥시","숙박 및 음식점업","지역내총부가가치(당해년가격)","","269561","243306","235251","222531","219368","209483","205066",
"시흥시","숙박 및 음식점업","고정자본소모","","14220","12889","12399","12251","12363","11547","10566",
"시흥시","숙박 및 음식점업","지역내순생산","","255341","230417","222852","210280","207005","197936","194500",
"시흥시","숙박 및 음식점업","기타생산세(기타생산보조금 공제)","","3918","3655","3482","3432","3374","3144","2967",
"시흥시","숙박 및 음식점업","지역내요소소득","","251423","226761","219371","206848","203632","194792","191534",
"시흥시","숙박 및 음식점업","2010년 기준년 고정가격_산출액","","588007","555653","572228","556482","573892","552700","527701",
"시흥시","숙박 및 음식점업","2010년 기준년 고정가격_지역내","","206780","199808","207407","202833","207996","202800","205066",
"시흥시","출판, 영상, 방송통신 및 정보서비스업","산출액(당해년가격)","","380481","387069","414794","395970","368617","314604","312147",
"시흥시","출판, 영상, 방송통신 및 정보서비스업","중간소비","","209238","214208","233069","227347","217151","186840","181851",
"시흥시","출판, 영상, 방송통신 및 정보서비스업","지역내총부가가치(당해년가격)","","171242","172861","181724","168622","151466","127764","130296",
"시흥시","출판, 영상, 방송통신 및 정보서비스업","고정자본소모","","71092","72692","77535","73327","68458","57351","56212",
"시흥시","출판, 영상, 방송통신 및 정보서비스업","지역내순생산","","100150","100169","104189","95295","83009","70413","74084",
"시흥시","출판, 영상, 방송통신 및 정보서비스업","기타생산세(기타생산보조금 공제)","","129","321","306","312","305","268","245",
"시흥시","출판, 영상, 방송통신 및 정보서비스업","지역내요소소득","","100021","99848","103883","94983","82703","70144","73839",
"시흥시","출판, 영상, 방송통신 및 정보서비스업","2010년 기준년 고정가격_산출액","","382064","392717","419272","399071","372300","316041","312147",
"시흥시","출판, 영상, 방송통신 및 정보서비스업","2010년 기준년 고정가격_지역내","","175626","180750","188262","176582","157561","132326","130296",
"시흥시","금융 및 보험업","산출액(당해년가격)","","465734","435566","403446","400238","411936","429484","313700",
"시흥시","금융 및 보험업","중간소비","","230603","217725","196486","197581","198212","196325","136439",
"시흥시","금융 및 보험업","지역내총부가가치(당해년가격)","","235132","217842","206960","202656","213724","233159","177261",
"시흥시","금융 및 보험업","고정자본소모","","21839","20481","18923","18794","18394","18036","13737",
"시흥시","금융 및 보험업","지역내순생산","","213292","197360","188037","183862","195329","215123","163524",
"시흥시","금융 및 보험업","기타생산세(기타생산보조금 공제)","","504","465","384","377","361","368","263",
"시흥시","금융 및 보험업","지역내요소소득","","212788","196895","187654","183485","194968","214754","163262",
"시흥시","금융 및 보험업","2010년 기준년 고정가격_산출액","","503264","466974","425748","421456","413441","411886","313700",
"시흥시","금융 및 보험업","2010년 기준년 고정가격_지역내","","271534","249693","228002","220777","214217","217733","177261",
"시흥시","부동산 및 임대업","산출액(당해년가격)","","997289","970499","954180","895408","869900","830672","891239",
"시흥시","부동산 및 임대업","중간소비","","219798","207138","206483","189750","187731","184627","188638",
"시흥시","부동산 및 임대업","지역내총부가가치(당해년가격)","","777491","763361","747696","705658","682169","646045","702601",
"시흥시","부동산 및 임대업","고정자본소모","","219695","212104","207508","197207","186376","172877","170272",
"시흥시","부동산 및 임대업","지역내순생산","","557795","551257","540188","508451","495794","473168","532329",
"시흥시","부동산 및 임대업","기타생산세(기타생산보조금 공제)","","43874","42575","41305","41847","40174","38102","37987",
"시흥시","부동산 및 임대업","지역내요소소득","","513921","508682","498883","466604","455619","435066","494342",
"시흥시","부동산 및 임대업","2010년 기준년 고정가격_산출액","","877249","867915","867699","827262","821060","808609","891239",
"시흥시","부동산 및 임대업","2010년 기준년 고정가격_지역내","","644376","651472","659239","637667","639090","636104","702601",
"시흥시","사업서비스업","산출액(당해년가격)","","713021","749176","630559","885899","828744","497448","451460",
"시흥시","사업서비스업","중간소비","","291195","297996","256120","360300","338569","205838","182864",
"시흥시","사업서비스업","지역내총부가가치(당해년가격)","","421826","451180","374439","525599","490174","291610","268596",
"시흥시","사업서비스업","고정자본소모","","59058","66084","56855","79698","80687","50480","48472",
"시흥시","사업서비스업","지역내순생산","","362768","385096","317585","445901","409488","241130","220124",
"시흥시","사업서비스업","기타생산세(기타생산보조금 공제)","","1275","2112","1555","2230","2108","1273","1063",
"시흥시","사업서비스업","지역내요소소득","","361493","382984","316030","443671","407380","239857","219061",
"시흥시","사업서비스업","2010년 기준년 고정가격_산출액","","646980","683412","583460","827468","783782","481873","451460",
"시흥시","사업서비스업","2010년 기준년 고정가격_지역내","","360598","388795","329630","471639","453301","282430","268596",
"시흥시","공공행정, 국방 및  사회보장행정","산출액(당해년가격)","","634803","596501","682980","643387","632629","584070","498812",
"시흥시","공공행정, 국방 및  사회보장행정","중간소비","","153849","142143","177793","181391","187281","177894","148305",
"시흥시","공공행정, 국방 및  사회보장행정","지역내총부가가치(당해년가격)","","480954","454358","505187","461996","445348","406176","350507",
"시흥시","공공행정, 국방 및  사회보장행정","고정자본소모","","144425","136435","152764","143241","139940","129663","107604",
"시흥시","공공행정, 국방 및  사회보장행정","지역내순생산","","336529","317923","352422","318756","305408","276513","242903",
"시흥시","공공행정, 국방 및  사회보장행정","기타생산세(기타생산보조금 공제)","","51","47","42","34","35","34","18",
"시흥시","공공행정, 국방 및  사회보장행정","지역내요소소득","","336478","317877","352380","318722","305373","276478","242886",
"시흥시","공공행정, 국방 및  사회보장행정","2010년 기준년 고정가격_산출액","","549556","528244","617587","594972","595863","563172","498812",
"시흥시","공공행정, 국방 및  사회보장행정","2010년 기준년 고정가격_지역내","","402438","391914","448796","422049","416031","391224","350507",
"시흥시","교육서비스업","산출액(당해년가격)","","613046","611483","602654","599943","450380","297507","291033",
"시흥시","교육서비스업","중간소비","","174390","173303","174813","183089","143819","92114","95074",
"시흥시","교육서비스업","지역내총부가가치(당해년가격)","","438656","438181","427841","416854","306561","205392","195959",
"시흥시","교육서비스업","고정자본소모","","54150","53007","51330","50012","36558","23711","21609",
"시흥시","교육서비스업","지역내순생산","","384505","385174","376511","366842","270003","181681","174351",
"시흥시","교육서비스업","기타생산세(기타생산보조금 공제)","","1903","1763","1496","1480","1065","698","566",
"시흥시","교육서비스업","지역내요소소득","","382603","383411","375015","365362","268938","180983","173785",
"시흥시","교육서비스업","2010년 기준년 고정가격_산출액","","524573","532574","533085","544074","423099","284921","291033",
"시흥시","교육서비스업","2010년 기준년 고정가격_지역내","","365064","372718","371914","374746","287501","196429","195959",
