"행정구역(시·군)별","경제활동별","항목","단위","2016 년","2015 년","2014 년","2013 년","2012 년","2011 년","2010 년",
"오산시","도매 및 소매업","지역내순생산","","279242","261494","246518","246440","226022","230823","199874",
"오산시","도매 및 소매업","기타생산세(기타생산보조금 공제)","","6413","5986","5183","5063","4543","4690","3598",
"오산시","도매 및 소매업","지역내요소소득","","272828","255507","241334","241377","221479","226132","196276",
"오산시","도매 및 소매업","2010년 기준년 고정가격_산출액","","575913","540207","495811","486096","455308","462292","406788",
"오산시","도매 및 소매업","2010년 기준년 고정가격_지역내","","309558","291304","269818","262983","237989","243442","214613",
"오산시","운수업","산출액(당해년가격)","","365392","359296","360583","330509","313585","289235","274010",
"오산시","운수업","중간소비","","199595","200062","209142","193512","187321","174347","162384",
"오산시","운수업","지역내총부가가치(당해년가격)","","165797","159234","151440","136997","126264","114889","111626",
"오산시","운수업","고정자본소모","","52375","50322","48082","42633","39949","34745","30383",
"오산시","운수업","지역내순생산","","113422","108913","103358","94364","86315","80144","81243",
"오산시","운수업","기타생산세(기타생산보조금 공제)","","3394","3280","2829","2550","2368","2221","1645",
"오산시","운수업","지역내요소소득","","110027","105633","100530","91814","83947","77922","79598",
"오산시","운수업","2010년 기준년 고정가격_산출액","","334444","331199","331748","309976","296739","283001","274010",
