"행정구역별(시군구)","거처의종류",2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"중원구","다세대주택",19382,19422,19280,X,X,142,50100,49816,X,X,284
"중원구","비거주용건물내 주택",740,1799,1715,7,X,77,3631,3463,54,X,114
"중원구","주택이외의 거처",4908,6677,6472,6,20,179,10744,9147,48,1214,335
"중원구","오피스텔",3391,3397,3357,X,X,40,4629,4563,X,X,66
"분당구","계",157536,175200,173580,19,24,1577,456261,450949,161,2853,2298
"분당구","주택",135456,152524,151659,X,X,861,416354,414939,27,X,1388
"분당구","단독주택",5284,21816,21454,X,X,362,44560,44062,X,X,498
"분당구","아파트",119544,119717,119282,X,X,433,341400,340613,13,X,774
"분당구","연립주택",8665,8679,8636,X,X,43,24551,24479,X,X,72
"분당구","다세대주택",1737,1738,1726,X,X,12,4587,4566,X,X,21
"분당구","비거주용건물내 주택",226,574,561,X,X,11,1256,1219,14,X,23
"분당구","주택이외의 거처",22080,22676,21921,15,24,716,39907,36010,134,2853,910
"분당구","오피스텔",21012,21039,20410,7,X,622,34772,33948,46,X,778
"의정부시","계",147585,172232,170040,35,82,2075,434051,425099,271,4957,3724
"의정부시","주택",142635,165294,163619,22,X,1650,417661,414445,170,119,2927
"의정부시","단독주택",12747,34192,33260,5,X,926,68109,66475,37,50,1547
"의정부시","아파트",107166,107268,106871,X,X,394,292525,291726,22,X,777
"의정부시","연립주택",2661,2663,2650,X,X,13,6381,6358,X,X,23
"의정부시","다세대주택",19048,19093,18903,X,X,188,46218,45835,13,X,370
"의정부시","비거주용건물내 주택",1013,2078,1935,12,X,129,4428,4051,98,69,210
"의정부시","주택이외의 거처",4950,6938,6421,13,79,425,16390,10654,101,4838,797
"의정부시","오피스텔",3314,3326,3252,X,X,73,6444,6296,6,X,142
"안양시","계",181719,209927,205695,34,53,4145,550085,538146,268,3922,7749
"안양시","주택",171744,198386,194722,23,X,3641,526124,519057,183,X,6884
"안양시","단독주택",9583,34438,31874,X,X,2561,69522,64866,23,X,4633
"안양시","아파트",126777,126880,126458,X,X,422,365936,365106,X,X,830
"안양시","연립주택",3173,3180,3132,X,X,47,8211,8104,6,X,101
"안양시","다세대주택",31044,31127,30662,9,X,456,76303,75212,59,X,1032
"안양시","비거주용건물내 주택",1167,2761,2596,10,X,155,6152,5769,95,X,288
"안양시","주택이외의 거처",9975,11541,10973,11,53,504,23961,19089,85,3922,865
"안양시","오피스텔",7489,7516,7255,X,X,259,14447,13896,8,90,453
"만안구","계",76592,95935,92620,23,42,3250,242804,232970,162,3376,6296
"만안구","주택",73188,91532,88536,14,X,2982,231978,226139,91,X,5748
"만안구","단독주택",6642,23983,21757,X,X,2224,47494,43371,12,X,4111
"만안구","아파트",44109,44152,43932,X,X,220,127269,126816,X,X,453
"만안구","연립주택",1972,1978,1938,X,X,39,4960,4864,6,X,90
"만안구","다세대주택",19767,19836,19459,6,X,371,48827,47936,38,X,853
"만안구","비거주용건물내 주택",698,1583,1450,5,X,128,3428,3152,35,X,241
"만안구","주택이외의 거처",3404,4403,4084,9,42,268,10826,6831,71,3376,548
"만안구","오피스텔",1716,1733,1627,X,X,104,3752,3388,8,90,266
"동안구","계",105127,113992,113075,11,11,895,307281,305176,106,546,1453
"동안구","주택",98556,106854,106186,9,X,659,294146,292918,92,X,1136
"동안구","단독주택",2941,10455,10117,X,X,337,22028,21495,11,X,522
"동안구","아파트",82668,82728,82526,X,X,202,238667,238290,X,X,377
"동안구","연립주택",1201,1202,1194,X,X,8,3251,3240,X,X,11
"동안구","다세대주택",11277,11291,11203,X,X,85,27476,27276,21,X,179
"동안구","비거주용건물내 주택",469,1178,1146,5,X,27,2724,2617,60,X,47
"동안구","주택이외의 거처",6571,7138,6889,X,11,236,13135,12258,14,546,317
"동안구","오피스텔",5773,5783,5628,X,X,155,10695,10508,X,X,187
"부천시","계",275393,324811,311910,76,123,12702,826730,789832,597,8055,28246
"부천시","주택",255150,301618,290821,42,7,10748,777352,752835,328,191,23998
"부천시","단독주택",17414,60380,54063,X,X,6313,125178,111527,32,X,13619
"부천시","아파트",146654,146897,145520,15,X,1362,412739,409418,102,X,3219
"부천시","연립주택",6486,6514,6257,X,X,252,15655,14999,7,94,555
"부천시","다세대주택",82063,82467,79993,13,X,2460,211984,205946,89,28,5921
"부천시","비거주용건물내 주택",2533,5360,4988,9,X,361,11796,10945,98,69,684
"부천시","주택이외의 거처",20243,23193,21089,34,116,1954,49378,36997,269,7864,4248
"부천시","오피스텔",15032,15161,14215,X,X,943,29011,26861,X,78,2072
"광명시","계",104673,118926,115414,15,21,3476,309610,300735,127,1976,6772
