,지역별,서비스업사업체비율,제조업사업체비율,도소매업사업체비율,운수업사업체비율,제조업종사자비율,도소매업종사자비율,운수업종사자비율,합계출산율,도시지역면적,주민등록인구 (명)
0,강남구,0.8516245639107225,0.022781724181413138,0.2339400053241422,0.04350384599218192,0.02059538764737746,0.19704784076895593,0.01618702963108094,0.612,39497268,545169
1,강동구,0.692664248286981,0.047024049442429126,0.22719333602042188,0.18907026736530969,0.035557229947256665,0.16396328515651756,0.06945681211041853,0.758,24556203,436067
2,강북구,0.6817845438206999,0.076329421714769,0.19917538851887093,0.17010254783803785,0.08151288353724212,0.1467176668784004,0.09148278052417907,0.617,23636019,313954
3,강서구,0.7053784653722355,0.03262901048696916,0.23567126985775103,0.18993354791818087,0.029455609095743823,0.15165347859019193,0.21006107879002756,0.76,41463274,591796
4,관악구,0.7203600842750431,0.04807508140203026,0.19118942731277533,0.16157824171614632,0.043661798778347256,0.1331004704065155,0.05717720985747385,0.536,29563482,500094
5,광진구,0.757285510495211,0.06957407784797229,0.2400244548604035,0.10266965559404932,0.05628758435708756,0.14875781011737657,0.045574331985705235,0.652,17075115,351350
6,구로구,0.7150935076388348,0.09537519777967993,0.31385365600601767,0.12686431665499442,0.08076305773375522,0.1854358692163067,0.04200486082450589,0.794,20136328,406664
7,금천구,0.6753818674550381,0.16626632175412664,0.2799642769154964,0.08678245873367825,0.1727689178332735,0.17499957267148694,0.03873305642445687,0.7090000000000001,13012685,232810
8,노원구,0.6571235347159603,0.03223624887285843,0.18898406973249174,0.2478960024045687,0.03133607945212403,0.1327318827761071,0.10591089434181597,0.7759999999999999,35545790,532905
9,도봉구,0.6098232243040118,0.05398539218799619,0.18286228432306553,0.2698740340848947,0.05566918750168205,0.14779180235218128,0.13496783916893182,0.6970000000000001,20679052,333362
10,동대문구,0.7257356170399649,0.10342555994729907,0.34265010351966874,0.1134638308551352,0.09622161593770427,0.22251115468781085,0.046622332111291104,0.765,14245433,346194
11,동작구,0.7855995179754971,0.030829483832094797,0.22916248242619,0.10725045189797149,0.01829181621122206,0.13124089406915176,0.027753100458405885,0.6970000000000001,16387882,395963
12,마포구,0.8133594757198109,0.03537279759346799,0.2056027073485174,0.08022668672110013,0.020967893647708034,0.137498432307017,0.048590644008277416,0.6809999999999999,23884089,374035
13,서대문구,0.7410587997575268,0.034653465346534656,0.20332390381895332,0.14664578702768236,0.022778335921088685,0.12827655493652387,0.05329253813133619,0.685,17685845,309397
14,서초구,0.8536312849162011,0.02309840996991835,0.2595401804899012,0.03364847443059733,0.01237882721381797,0.15429885602405108,0.020559201154232758,0.715,46899887,430826
15,성동구,0.6853739055547582,0.15946605425577723,0.26499928233098896,0.09433759150279891,0.1548001075397983,0.1807698247902116,0.04949690823079871,0.855,16804270,300889
16,성북구,0.7029243784085542,0.09507450508867608,0.20633830033924508,0.13226263580538497,0.07523035831461816,0.14010036875814458,0.055988391974196174,0.7070000000000001,24621422,442650
17,송파구,0.7637737586870971,0.031817801222473414,0.2860671523067906,0.12381729883613832,0.026833657573362344,0.17730630911790185,0.04653597897641263,0.77,33857302,675961
18,양천구,0.6911123019214576,0.04401745387736355,0.201293730383526,0.19340886473245042,0.0399477743267024,0.14229874058275419,0.10385123792686783,0.742,17469613,458165
19,영등포구,0.7197163586841673,0.09291131512831952,0.2598793115593228,0.09777172509333396,0.036938488452131234,0.14382259078183793,0.031053686911145753,0.8290000000000001,24354830,367678
20,용산구,0.8305386056791428,0.046317205592658436,0.34824388603276796,0.060106664104165666,0.022525776116020847,0.22018043281214594,0.027744731475186947,0.713,21870000,228670
21,은평구,0.6884171591685764,0.03614360953644514,0.20037791983275038,0.2096248944638765,0.033770502726293464,0.1695077124676565,0.09881286854934536,0.6970000000000001,29788522,480032
22,종로구,0.7957799359231077,0.11105826992390869,0.4151732078494193,0.034741690028033644,0.04932136428983801,0.16269144998245397,0.027394469034061966,0.648,23972507,151290
23,중구,0.77613727709697,0.15369850878488114,0.5175287497744312,0.025378545532096397,0.0752874299029524,0.25249276624074973,0.036657875195247484,0.78,9974292,126171
24,중랑구,0.5806094775906366,0.12075363973736797,0.18898087353696832,0.23372823294319156,0.14803525665915973,0.1560048924438922,0.12708705443814552,0.777,18531520,397015
