,시군,총인구수,할인율_상시,할인율_한시,구매한도_월,구매한도_연,지역화폐사용액(천원),경제활동참가율,서비스업사업체비율,제조업사업체비율,도소매업사업체비율,운수업사업체비율,제조업종사자비율,도소매업종사자비율,운수업종사자비율,농업가구비율,합계출산율,도시지역면적,cluster_id
0,수원시,1194465.0,0.06,0.1,50.0,50.0,22696236.0,62.6,0.7598480412848408,0.05299492109312237,0.2340109747960948,0.10505031249574487,0.1066245495395293,0.1301997597544156,0.04135115896249498,0.005607254385361061,0.89,121182030,5
1,성남시,942724.0,0.06,0.06,10.0,10.0,86074070.0,62.0,0.7679015737815024,0.0635618445757201,0.249545877791516,0.09082444169681428,0.08541106251474302,0.15963149477474825,0.03276684058924479,0.0021914887316018604,0.852,141820898,1
2,의정부시,451868.0,0.06,0.1,40.0,40.0,9062650.0,59.4,0.7588796803315081,0.04961521385230132,0.2337205860589019,0.11469587094864585,0.058894180989852975,0.1630648167322427,0.05094222406295298,0.005817734218960472,0.847,81598380,5
3,안양시,567044.0,0.06,0.1,30.0,30.0,20391808.0,62.1,0.7336917722648582,0.0867169373549884,0.263631090487239,0.09106728538283064,0.13542572102019562,0.1557779500552071,0.0437506362518696,0.0025389778351522195,0.98,58480054,5
4,부천시,829996.0,0.06,0.1,40.0,40.0,31543254.0,63.0,0.660900799496797,0.17382020426067238,0.22111135020608147,0.09388707728469038,0.23315416710959924,0.14273280535771235,0.03667813862017647,0.002736976272355309,0.807,53450000,5
5,광명시,316552.0,0.06,0.1,40.0,40.0,6372380.0,61.8,0.7104265402843601,0.09246972090573986,0.2589784096893102,0.12243285939968405,0.16204422749796613,0.1875495261339504,0.058945344279269285,0.004860165144711839,0.84,38506473,3
6,평택시,513027.0,0.06,0.1,30.0,30.0,10543560.0,63.8,0.7229679240583399,0.10563750588105056,0.2294024852627792,0.09467799518445742,0.3821536629686729,0.11161513615340528,0.0599350444514544,0.04047182754022239,1.102,151090527,3
7,동두천시,94768.0,0.06,0.1,30.0,30.0,2106819.0,56.2,0.7247259439707674,0.07704019488428747,0.2172655298416565,0.10794762484774666,0.2020945372204925,0.12666289272572884,0.047834701386923285,0.01753060692888773,0.8540000000000001,33565811,3
8,안산시,650918.0,0.06,0.1,0.0,0.0,27036345.0,63.4,0.63591238720868,0.17384164006421493,0.21392061705386306,0.1163987968925876,0.3914304905125287,0.1142228109782264,0.041535284935102085,0.006212825475763271,0.887,151472339,1
9,고양시,1066351.0,0.06,0.1,40.0,40.0,28739326.0,59.7,0.7349794238683127,0.08458595047289004,0.26666666666666666,0.10459894592448199,0.0981333958138082,0.1978167880229736,0.05804676423233125,0.013251082295387323,0.802,194127720,5
10,과천시,58289.0,0.06,0.1,40.0,40.0,6683191.0,55.3,0.8024489795918367,0.021496598639455786,0.3523809523809524,0.08353741496598639,0.009417980302638755,0.12372584489045856,0.027162833433830073,0.017505125374546602,0.78,35853000,2
11,구리시,199265.0,0.06,0.1,50.0,50.0,4011320.0,60.5,0.7529355543418896,0.055843801201529215,0.2901419989077007,0.11339432004369195,0.06086070791953145,0.21603079734567626,0.06053116433739271,0.006664463538224278,0.872,33292067,2
12,남양주시,701830.0,0.06,0.1,50.0,50.0,12979396.0,57.8,0.6741289610594356,0.1498239529139734,0.2371643281307478,0.1072836197382942,0.2024914198550909,0.1991319980388241,0.0532180839794924,0.017411107547790218,0.9079999999999999,242423014,5
13,오산시,226379.0,0.06,0.1,30.0,30.0,6017615.0,64.1,0.707816091954023,0.07111111111111111,0.21026819923371648,0.1506513409961686,0.17162140446729873,0.13819701108789972,0.05688574642455407,0.012500402719159769,1.04,42757000,3
14,시흥시,473682.0,0.05,0.1,40.0,40.0,30544406.0,66.2,0.5622483181018061,0.2940367967977623,0.22070844686648505,0.09088278556099444,0.4558824255165845,0.13952593162874022,0.0376204788060939,0.008321789285444425,1.081,135056862,0
15,군포시,275852.0,0.06,0.1,50.0,50.0,16642604.0,61.8,0.6440572846188543,0.1761953089760938,0.19108028867839424,0.10577356788452864,0.2604493015369872,0.117568464118536,0.09188750875382404,0.0032991307507674065,1.046,36460228,3
16,의왕시,161153.0,0.06,0.1,40.0,40.0,6424547.0,59.4,0.6425940395133385,0.12434423484763925,0.2092867507534323,0.14689139412880906,0.18691452524147986,0.13205759066885364,0.09028613085474756,0.009290129888171149,0.924,53990394,3
17,하남시,272455.0,0.06,0.1,50.0,50.0,14538314.0,64.0,0.7272312108559499,0.09590292275574112,0.34205375782881003,0.10457985386221294,0.11507629331269105,0.30498956952990725,0.059722641336149775,0.00923128074241402,0.975,93044652,2
18,용인시,1059609.0,0.06,0.1,50.0,50.0,15960062.0,59.2,0.7351440547768526,0.08197560836826433,0.22656146273922198,0.10587409669404244,0.1666232119366193,0.14262731248296376,0.06081193187878501,0.014778624020935945,0.9359999999999999,388296611,5
