행정구역(시군구)별,총인구수 (명)
경기도,13239666
수원시,1194465
성남시,942724
의정부시,451868
안양시,567044
부천시,829996
광명시,316552
평택시,513027
동두천시,94768
안산시,650918
고양시,1066351
과천시,58289
구리시,199265
남양주시,701830
오산시,226379
시흥시,473682
군포시,275852
의왕시,161153
하남시,272455
용인시,1059609
파주시,454040
이천시,215834
안성시,183405
김포시,437221
화성시,815396
광주시,372654
양주시,222314
포천시,148379
여주시,111083
연천군,43824
가평군,62415
양평군,116874
