Unnamed: 0,가평,고양,과천,광명,광주,구리,군포,남양주,동두천,부천,수원,안산,안성,양주,양평,여주,연천,오산,용인,의정부,이천,파주,하남,화성
가구,0.03247968421705221,0.47771954715994774,0.09126379554403624,0.26055892311782514,0.6192371906809383,0.22577841839442447,0.09373793303027049,0.7458777487800548,0.16342926005812328,0.19832929464249185,0.5404580827444335,0.6543716253647908,0.10871704019207595,0.13324765976085046,0.06567506498243997,0.1324643194464253,0.053303694766603044,0.2682310601792442,0.35230410578914606,0.18187522124779884,0.19168040890326465,0.7855437557244299,0.1985956851796995,0.32288814186059317
광학제품,0.21690781524522418,2.7268537292452626,1.051451830635619,2.0265592367520275,1.0964654437485564,1.6950595213397375,1.2547594819798396,1.5693382019479558,1.4118596124864577,2.1916929870667463,2.605380936915049,1.682261287700192,0.5198324918288529,0.8942253760210462,0.574549491500483,0.6605968782626067,0.7270537996041758,1.133974006698527,1.540127758792543,2.01389104051303,1.119760288564194,1.861399044675724,1.3700190212879457,2.433073589951957
의료기관,0.17459490484148968,2.0388181727013257,1.1523132299079457,1.996656534248589,1.013334618837485,1.9412652714899752,2.4808421474246893,1.7473404829269366,1.240741942137703,2.371150621659418,2.5473957488364602,1.7184315745998335,0.6474194231006687,1.0448007926414573,0.751475150930368,0.7435080146419351,0.6902485723505333,1.6582496953129975,2.5538280950149117,1.9066701910225772,1.3365652572852593,1.7071188158999453,2.323465055387903,2.526503705181536
레저업소,0.11826396464077246,1.0578077115133389,0.5593185876395724,0.7019191969299791,0.4923687885026885,0.6529474558531513,0.7091317612929053,0.8968162912688353,0.4642037030758508,1.0104282812433145,1.1292268369924077,0.751255207708665,0.26529714359852863,0.4642314246940516,0.20067416640734773,0.2777042361153078,0.31838883976927657,0.6745062059026211,0.8045530491964193,0.8299757526384043,0.48337547743765835,0.884001324159379,0.7928178876823778,1.148858626690351
레저용품,0.16701336174425888,1.3028393807789387,0.43231695585146834,0.8005635982575359,0.8346303767102767,1.2119427596569183,0.9157779918769269,1.4751280999608818,0.8536643191290301,1.2848412192740335,1.1490799689734081,1.1010145828087206,0.4780070821841398,0.4541816978724345,0.7174293569452054,0.9621190419195804,1.3793932124871946,1.3237861683322671,1.1783201114135757,0.9324886951446327,0.8003789059971532,0.9548273415851862,1.3826633837707545,1.1891621065906985
문화취미,0.17271082951958183,1.6311611670222834,1.8276760593020296,1.6632611186572845,0.760155389946879,0.8987499643128245,0.8572728353955402,1.8831664373931827,0.8031546127048165,1.5631763657993856,1.608307967644662,0.9556334630068748,0.39206571753186825,0.980690829472743,0.802800362442088,1.0339874760597931,0.8625649018710116,1.0535029026318814,1.0905970504290963,1.1168784695573246,1.2835169623678775,1.3437990494913183,1.104016177169787,1.2028086227713881
보건위생,0.12179953432674248,2.0087786243648917,0.8895402085544185,1.8080222048687686,0.7512234645108865,1.561222518973944,1.4406811273810536,1.593281110950245,1.4122764415052835,2.124363732761123,2.2310022574838837,1.3283309210920564,0.38578446553776397,0.7825188818568111,0.4120170705389316,0.651959661248154,0.6452934126209483,1.1663964992763798,1.4037047967535046,1.6568151982562718,0.8472350679144698,1.486153080843468,1.1890352555379595,1.9640376054057231
사무통신,0.33071917907354553,3.9033802983655166,3.0393255781698594,2.5926004320341827,1.4918088582041267,2.64259991686551,3.4661639801921273,2.414415472175611,2.1173383453729104,4.491736472854324,4.232065897844039,4.204682938255288,0.7306955062869019,1.3412974060165355,1.567926078100238,1.037766316867186,1.2420960123161315,2.2808473997392,2.254719553674941,3.6164794684560153,2.000962104962227,2.0768653531336483,1.7989610551645099,1.892885841915435
서적문구,0.13125267219246525,2.0552482475390317,1.4820531448263325,1.2318245559837124,0.6928273275756558,1.0366836174982859,1.8703655786699425,1.2214243037234744,0.8837935334272352,1.4089818009702695,1.8200873102689397,1.366037478358064,0.4190699422702382,0.6013620197114021,0.5915219665276243,0.5989096901476259,0.5498354015887307,1.2332535693306919,1.2334170433439238,1.1656311206720802,0.5890074079134958,2.0913432896223307,1.0312234281608037,1.9322824214684269
수리서비스,0.05856520914551715,0.8174623884229961,0.46154295816856744,0.7312886193963063,0.49158471501553974,0.5803156179945872,0.6801612880959571,0.87748274482845,0.6193925654327246,0.9533168158215868,1.0488286066577945,0.6781434808912288,0.2234733081510472,0.4984969991126489,0.24784335855190395,0.2536324854001693,0.40576414697333857,0.6725025602651893,0.7956708482714173,0.7381613787582181,0.4293506861353241,0.7427360876753433,0.5797425378017439,1.0016781541540498
숙박,0.5589289580296586,0.2727645620977919,0.0634501449945705,0.4611826068435047,0.17120165433720572,0.23099440640377222,0.2592255326973317,0.23371273838420423,0.3337640968185686,0.47854580161899063,0.5272675610491413,0.11841797612511093,0.1307603125353746,0.1791371629558548,0.5811660652003946,0.22852328077051268,0.4415072980073588,0.28085192607837917,0.2594287079633523,0.3773252437449098,0.274273437783078,0.4115417342721776,0.2986219224570035,0.18761038065364513
신변잡화,0.06969965422074564,0.4280488559997039,0.2244915192367774,0.4390226141890039,0.24770522397615302,0.3524821852988906,0.3811252687655989,0.42132815920925504,0.43624221611536457,0.5846911258427715,0.46304296833892195,0.3671803819720259,0.13840840086256556,0.18221337652443118,0.17060565339295666,0.22101953422341306,0.25133756529219586,0.37494852443765003,0.2966403643843395,0.417434004299084,0.2836266914585635,0.46203890026428446,0.2618498105768216,0.27158398004822787
연료판매,0.7208353505264004,0.30590270293333605,0.29433187104516617,0.7270940189178324,1.9722786715027207,0.36828243567861796,1.2381184452228307,0.4079705213125976,1.4175197362945957,0.5043857796781248,1.0025108182642049,0.38509967901367786,1.8122393335279396,0.4048230624304048,1.8960010183251492,0.8996768477046123,0.6985693192098424,1.6132432239024885,1.0724892374034116,0.6636358199160047,0.5044351203597698,1.7571549886876787,2.0423965653169702,0.895466304693828
유통업,0.6689733919715372,2.6628614558595305,2.0975063506180884,3.476123013569473,2.691026957672925,3.3922140994703436,3.188357722489717,3.8321591569375517,3.1818237182941536,4.6280571337621454,4.572010472652265,3.7599876684146762,1.4703983426884448,1.8419339726488484,1.8903747570623064,1.734971808441175,1.9046450843924598,3.5221367688159955,3.1222575950921985,3.5463303908546617,2.448427163548823,3.8509817562670436,3.183246573981319,3.935996831445909
