Unnamed: 0,구리,광명,과천,의정부
가구,0.015638734323531214,0.014097449683211971,0.030010545248728992,0.0
광학제품,0.45986094491366303,0.5522322264907389,0.34593752958336876,0.533399392595047
의료기관,0.5342987515202392,0.5431202891862006,0.37912356871667124,0.5021815748282383
레저업소,0.14478895189264482,0.14858854269488,0.18401281726830854,0.1886972951592334
레저용품,0.31379550146810353,0.17864741781618554,0.14222595774702,0.21854438528309705
문화취미,0.2191048424718349,0.4415281964936047,0.6013356086759403,0.2722302719649677
보건위생,0.4193966873046122,0.4856397259295889,0.2926643699277554,0.42943520442198346
사무통신,0.7463401545626099,0.7247160306754546,1.0,1.0
서적문구,0.26080768082590505,0.31006105202681183,0.4876166275007151,0.286424818878017
수리서비스,0.12282945380335629,0.15753797915979148,0.15184207713067555,0.16196513993208703
숙박,0.017215735293106958,0.0752314033017418,0.02085912654708677,0.05690612612966415
신변잡화,0.05394633067903516,0.06847882086496636,0.0738459518959299,0.06858396662228457
연료판매,0.05872337581865494,0.15625980249421936,0.09682525482964129,0.14026669857518523
유통업,0.9729783850679322,0.9939426120912187,0.6901168339173993,0.9795757902359862
음료식품,1.0,1.0,0.478851454031529,0.8649160658610087
의류,0.40889359564171524,0.27351939990787105,0.2806981727816183,0.3925270692326302
요식업,0.34624753032729294,0.3519643497481132,0.2697626656707698,0.3714307102758196
자동차정비,0.019305625835770227,0.0,0.029008403696843838,0.017025541588963525
자동차판매,0.0,0.018867412208569734,0.0,0.003916681653027349
전기가전,0.10246006329152892,0.10089092151543233,0.03568651130606445,0.09035902526498057
주방용구,0.0012659936989290624,0.0332137519622675,0.027696176478643218,0.008371978627248606
직물,0.37085208579033857,0.43330278734450256,0.21299989805693148,0.4136967965990326
